# exposure_start_timestamp_us, exposure_end_timestamp_us
51805200087, 51805201557
51805250080, 51805251539
51805300097, 51805301551
51805350094, 51805351543
51805400092, 51805401535
51805450085, 51805451523
51805500106, 51805501533
51805550091, 51805551508
51805600109, 51805601520
51805650106, 51805651507
51805700099, 51805701494
51805750116, 51805751501
51805800106, 51805801485
51805850099, 51805851468
51805900116, 51805901474
51805950109, 51805951462
51806000051, 51806001404
51806050100, 51806051458
51806100081, 51806101439
51806150090, 51806151448
51806200088, 51806201451
51806250081, 51806251444
51806300102, 51806301465
51806350087, 51806351450
51806400105, 51806401468
51806450102, 51806451455
51806500107, 51806501454
51806550088, 51806551425
51806600106, 51806601432
51806650095, 51806651410
51806700112, 51806701416
51806750105, 51806751393
51806800103, 51806801381
51806850096, 51806851358
51806900117, 51806901368
51806950102, 51806951337
51807000052, 51807001276
51807050081, 51807051289
51807100090, 51807101282
51807150099, 51807151280
51807200085, 51807201250
51807250082, 51807251231
51807300099, 51807301232
51807350096, 51807351213
51807400090, 51807401197
51807450087, 51807451178
51807500100, 51807501175
51807550093, 51807551152
51807600111, 51807601159
51807650104, 51807651136
51807700097, 51807701113
51807750094, 51807751094
51807800104, 51807801088
51807850101, 51807851069
51807900118, 51807901070
51807950111, 51807951052
51808000053, 51808000983
51808050102, 51808051016
51808100099, 51808101002
51808150088, 51808150975
51808200086, 51808200963
51808250083, 51808250949
51808300100, 51808300961
51808350089, 51808350944
51808400107, 51808400952
51808450088, 51808450927
51808500101, 51808500935
51808550090, 51808550924
51808600112, 51808600946
51808650101, 51808650935
51808700098, 51808700932
51808750115, 51808750949
51808800109, 51808800943
51808850102, 51808850936
51808900099, 51808900933
51808950108, 51808950942
51809000054, 51809000888
51809050099, 51809050933
51809100080, 51809100914
51809150089, 51809150923
51809200086, 51809200920
51809250100, 51809250934
51809300093, 51809300922
51809350086, 51809350915
51809400103, 51809400932
51809450088, 51809450917
51809500106, 51809500935
51809550103, 51809550932
51809600096, 51809600925
51809650093, 51809650922
51809700110, 51809700939
51809750108, 51809750942
51809800125, 51809800964
51809850110, 51809850955
51809900107, 51809900952
51809950100, 51809950945
51810000050, 51810000895
51810050079, 51810050924
51810100076, 51810100921
51810150089, 51810150934
51810200087, 51810200932
51810250080, 51810250935
51810300097, 51810300968
51810350090, 51810350977
51810400104, 51810401007
51810450101, 51810451010
51810500090, 51810501004
51810550107, 51810551016
51810600101, 51810601010
51810650098, 51810651007
51810700107, 51810701021
51810750100, 51810751020
51810800098, 51810801028
51810850115, 51810851051
51810900108, 51810901054
51810950101, 51810951063
51811000051, 51811001029
51811050100, 51811051094
51811100081, 51811101091
51811150094, 51811151115
51811200088, 51811201125
51811250101, 51811251149
51811300094, 51811301153
51811350091, 51811351160
51811400085, 51811401165
51811450102, 51811451193
51811500107, 51811501203
51811550108, 51811551209
51811600102, 51811601209
51811650099, 51811651206
51811700092, 51811701199
51811750109, 51811751216
51811800107, 51811801214
51811850096, 51811851203
51811900113, 51811901220
51811950106, 51811951213
51812000048, 51812001155
51812050077, 51812051194
51812100082, 51812101205
51812150091, 51812151214
51812200089, 51812201212
51812250082, 51812251205
51812300079, 51812301202
51812350096, 51812351219
51812400086, 51812401219
51812450103, 51812451242
51812500104, 51812501248
51812550089, 51812551238
51812600107, 51812601262
51812650104, 51812651253
51812700093, 51812701242
51812750110, 51812751259
51812800108, 51812801257
51812850101, 51812851250
51812900098, 51812901237
51812950115, 51812951243
51813000049, 51813001166
51813050074, 51813051181
51813100079, 51813101180
51813150092, 51813151183
51813200086, 51813201182
51813250107, 51813251198
51813300096, 51813301203
51813350089, 51813351206
51813400087, 51813401215
51813450104, 51813451243
51813500093, 51813501242
51813550086, 51813551246
51813600104, 51813601275
51813650101, 51813651282
51813700094, 51813701286
51813750091, 51813751299
51813800113, 51813801337
51813850106, 51813851346
51813900099, 51813901355
51813950112, 51813951390
51814000050, 51814001344
51814050075, 51814051390
51814100080, 51814101411
51814150089, 51814151436
51814200083, 51814201441
51814250080, 51814251449
51814300097, 51814301482
51814350090, 51814351491
51814400088, 51814401499
51814450101, 51814451523
51814500098, 51814501531
51814550087, 51814551530
51814600109, 51814601579
51814650102, 51814651599
51814700099, 51814701617
51814750108, 51814751653
51814800106, 51814801678
51814850099, 51814851692
51814900096, 51814901710
51814950113, 51814951744
51815000051, 51815001698
51815050080, 51815051743
51815100089, 51815101768
51815150098, 51815151787
51815200091, 51815201796
51815250085, 51815251801
51815300098, 51815301830
51815350091, 51815351839
51815400088, 51815401858
51815450089, 51815451875
51815500107, 51815501909
51815550088, 51815551906
51815600101, 51815601935
51815650094, 51815651938
51815700111, 51815701971
51815750105, 51815752003
51815800094, 51815802029
51815850115, 51815852082
51815900104, 51815902098
51815950117, 51815952138
51816000047, 51816002089
51816050072, 51816052130
51816100077, 51816102141
51816150082, 51816152146
51816200076, 51816202140
51816250093, 51816252141
51816300090, 51816302116
51816350083, 51816352088
51816400101, 51816402084
51816450086, 51816452053
51816500099, 51816502056
51816550096, 51816552037
51816600090, 51816602025
51816650107, 51816652032
51816700100, 51816702030
51816750089, 51816752019
51816800107, 51816802026
51816850100, 51816852014
51816900093, 51816902007
51816950110, 51816952024
51817000048, 51817001951
