# exposure_start_timestamp_us, exposure_end_timestamp_us
51832500081, 51832500760
51832550094, 51832550762
51832600088, 51832600746
51832650101, 51832650753
51832700094, 51832700736
51832750091, 51832750727
51832800109, 51832800734
51832850102, 51832850722
51832900099, 51832900708
51832950112, 51832950716
51833000046, 51833000645
51833050071, 51833050664
51833100080, 51833100668
51833150093, 51833150676
51833200083, 51833200660
51833250080, 51833250652
51833300077, 51833300644
51833350098, 51833350665
51833400092, 51833400659
51833450101, 51833450668
51833500086, 51833500653
51833550099, 51833550666
51833600097, 51833600664
51833650094, 51833650661
51833700091, 51833700652
51833750108, 51833750664
51833800102, 51833800653
51833850095, 51833850646
51833900092, 51833900643
51833950113, 51833950664
51834000047, 51834000592
51834050096, 51834050636
51834100073, 51834100608
51834150090, 51834150625
51834200088, 51834200617
51834250085, 51834250609
51834300082, 51834300601
51834350095, 51834350608
51834400089, 51834400597
51834450090, 51834450593
51834500103, 51834500600
51834550096, 51834550588
51834600090, 51834600576
51834650103, 51834650584
51834700096, 51834700572
51834750093, 51834750563
51834800091, 51834800556
51834850108, 51834850568
51834900101, 51834900555
51834950114, 51834950563
51835000044, 51835000488
51835050073, 51835050511
51835100082, 51835100515
51835150091, 51835150519
51835200088, 51835200510
51835250078, 51835250495
51835300095, 51835300507
51835350088, 51835350494
51835400085, 51835400486
51835450082, 51835450478
51835500100, 51835500496
51835550089, 51835550479
51835600086, 51835600471
51835650103, 51835650488
51835700096, 51835700476
51835750094, 51835750474
51835800107, 51835800481
51835850100, 51835850469
51835900097, 51835900466
51835950090, 51835950454
51836000044, 51836000408
51836050069, 51836050427
51836100070, 51836100428
51836150083, 51836150436
51836200081, 51836200434
51836250078, 51836250431
51836300075, 51836300422
51836350096, 51836350443
51836400086, 51836400433
51836450079, 51836450426
51836500100, 51836500447
51836550097, 51836550444
51836600095, 51836600442
51836650088, 51836650430
51836700101, 51836700443
51836750098, 51836750440
51836800092, 51836800429
51836850089, 51836850426
51836900106, 51836900443
51836950095, 51836950432
51837000045, 51837000382
51837050074, 51837050411
51837100079, 51837100416
51837150092, 51837150429
51837200090, 51837200427
51837250079, 51837250416
51837300076, 51837300413
51837350097, 51837350434
51837400095, 51837400437
51837450100, 51837450442
51837500093, 51837500435
51837550102, 51837550449
51837600100, 51837600447
51837650093, 51837650440
51837700090, 51837700437
51837750087, 51837750440
51837800105, 51837800463
51837850098, 51837850456
51837900091, 51837900455
51837950112, 51837950476
51838000046, 51838000415
51838050095, 51838050464
51838100072, 51838100446
51838150085, 51838150465
51838200083, 51838200463
51838250080, 51838250465
51838300077, 51838300462
51838350098, 51838350488
51838400088, 51838400478
51838450085, 51838450481
51838500094, 51838500490
51838550099, 51838550500
51838600097, 51838600503
51838650090, 51838650502
51838700103, 51838700515
51838750100, 51838750517
51838800098, 51838800520
51838850091, 51838850513
51838900112, 51838900540
51838950105, 51838950533
51839000043, 51839000476
51839050076, 51839050509
51839100085, 51839100523
51839150074, 51839150512
51839200092, 51839200530
51839250085, 51839250529
51839300074, 51839300523
51839350095, 51839350549
51839400093, 51839400547
51839450086, 51839450540
51839500083, 51839500543
51839550100, 51839550565
51839600094, 51839600559
51839650087, 51839650557
51839700084, 51839700554
51839750105, 51839750575
51839800103, 51839800573
51839850092, 51839850568
51839900089, 51839900570
51839950106, 51839950587
51840000044, 51840000530
51840050073, 51840050559
51840100078, 51840100564
51840150087, 51840150573
51840200085, 51840200577
51840250082, 51840250579
51840300075, 51840300578
51840350096, 51840350599
51840400094, 51840400602
