# exposure_start_timestamp_us, exposure_end_timestamp_us
51932500062, 51932501372
51932550075, 51932551412
51932600065, 51932601428
51932650062, 51932651452
51932700079, 51932701490
51932750076, 51932751514
51932800074, 51932801533
51932850063, 51932851549
51932900080, 51932901598
51932950077, 51932951627
51933000019, 51933001601
51933050048, 51933051668
51933100057, 51933101709
51933150066, 51933151750
51933200064, 51933201780
51933250061, 51933251809
51933300054, 51933301834
51933350051, 51933351858
51933400073, 51933401907
51933450066, 51933451921
51933500067, 51933501927
51933550072, 51933551927
51933600070, 51933601925
51933650067, 51933651922
51933700060, 51933701915
51933750073, 51933751928
51933800067, 51933801933
51933850064, 51933851940
51933900081, 51933901952
51933950078, 51933951949
51934000016, 51934001903
51934050045, 51934051943
51934100050, 51934101959
51934150067, 51934151970
51934200061, 51934201964
51934250058, 51934251940
51934300047, 51934301913
51934350064, 51934351914
51934400062, 51934401890
51934450055, 51934451862
51934500068, 51934501854
51934550069, 51934551833
51934600059, 51934601796
51934650056, 51934651767
51934700077, 51934701761
51934750070, 51934751733
51934800068, 51934801709
51934850065, 51934851685
51934900078, 51934901676
51934950071, 51934951653
51935000017, 51935001578
51935050046, 51935051591
51935100051, 51935101580
51935150064, 51935151577
51935200057, 51935201559
51935250055, 51935251547
51935300052, 51935301527
51935350069, 51935351534
51935400066, 51935401515
51935450059, 51935451492
51935500073, 51935501490
51935550070, 51935551471
51935600067, 51935601457
51935650064, 51935651438
51935700061, 51935701419
51935750075, 51935751422
51935800072, 51935801403
51935850069, 51935851384
51935900066, 51935901360
51935950083, 51935951355
51936000017, 51936001268
51936050062, 51936051297
51936100043, 51936101257
51936150056, 51936151248
51936200054, 51936201230
51936250051, 51936251206
51936300068, 51936301201
51936350061, 51936351178
51936400059, 51936401155
51936450068, 51936451143
51936500057, 51936501116
51936550074, 51936551116
51936600064, 51936601090
51936650061, 51936651066
51936700058, 51936701047
51936750071, 51936751049
51936800065, 51936801027
51936850082, 51936851028
51936900067, 51936900997
51936950084, 51936950998
51937000014, 51937000912
51937050063, 51937050940
51937100040, 51937100901
51937150049, 51937150899
51937200063, 51937200902
51937250056, 51937250885
51937300049, 51937300867
51937350066, 51937350879
51937400060, 51937400867
51937450069, 51937450876
51937500050, 51937500857
51937550063, 51937550870
51937600057, 51937600870
51937650070, 51937650888
51937700063, 51937700892
51937750080, 51937750919
51937800070, 51937800920
51937850063, 51937850924
51937900080, 51937900951
51937950073, 51937950955
51938000015, 51938000908
51938050052, 51938050955
51938100061, 51938100975
51938150046, 51938150966
51938200044, 51938200969
51938250061, 51938250991
51938300054, 51938300990
51938350067, 51938351008
51938400061, 51938401013
51938450050, 51938451012
51938500063, 51938501031
51938550072, 51938551050
51938600066, 51938601050
51938650055, 51938651039
51938700076, 51938701060
51938750069, 51938751053
51938800063, 51938801036
51938850080, 51938851042
51938900073, 51938901025
51938950062, 51938951003
51939000016, 51939000941
51939050041, 51939050961
51939100046, 51939100960
51939150059, 51939150973
51939200049, 51939200963
51939250066, 51939250980
51939300059, 51939300973
51939350052, 51939350966
51939400070, 51939400990
51939450059, 51939450979
51939500064, 51939500973
51939550073, 51939550971
51939600071, 51939600964
51939650064, 51939650951
51939700061, 51939700943
51939750078, 51939750949
51939800068, 51939800929
51939850065, 51939850910
51939900082, 51939900911
51939950075, 51939950888
51940000017, 51940000814
51940050062, 51940050848
51940100063, 51940100838
51940150048, 51940150818
51940200066, 51940200830
51940250063, 51940250822
51940300056, 51940300815
51940350073, 51940350832
51940400063, 51940400822
51940450056, 51940450815
51940500057, 51940500816
51940550074, 51940550838
51940600068, 51940600838
51940650057, 51940650832
51940700074, 51940700855
51940750071, 51940750857
51940800065, 51940800856
51940850082, 51940850879
51940900075, 51940900877
51940950064, 51940950871
51941000014, 51941000816
51941050043, 51941050845
51941100048, 51941100855
51941150061, 51941150874
51941200058, 51941200876
51941250044, 51941250873
51941300065, 51941300899
51941350058, 51941350897
51941400051, 51941400896
51941450068, 51941450918
51941500070, 51941500925
51941550055, 51941550916
51941600072, 51941600938
51941650069, 51941650940
51941700062, 51941700939
51941750056, 51941750938
51941800073, 51941800960
51941850066, 51941850948
51941900059, 51941900941
51941950076, 51941950958
51942000014, 51942000896
51942050063, 51942050945
51942100064, 51942100946
51942150049, 51942150931
51942200047, 51942200929
51942250064, 51942250946
51942300061, 51942300932
51942350054, 51942350915
51942400068, 51942400923
51942450049, 51942450894
51942500066, 51942500900
51942550055, 51942550884
51942600073, 51942600891
51942650070, 51942650877
51942700059, 51942700856
51942750076, 51942750862
51942800074, 51942800855
51942850067, 51942850837
51942900064, 51942900828
51942950081, 51942950840
51943000015, 51943000769
51943050040, 51943050788
51943100049, 51943100792
51943150058, 51943150796
51943200056, 51943200788
51943250065, 51943250792
51943300058, 51943300780
51943350051, 51943350773
51943400069, 51943400791
51943450066, 51943450788
51943500067, 51943500789
51943550072, 51943550794
51943600066, 51943600788
51943650059, 51943650781
51943700056, 51943700778
51943750073, 51943750800
51943800067, 51943800799
51943850080, 51943850812
51943900077, 51943900809
51943950070, 51943950802
51944000016, 51944000754
51944050065, 51944050808
51944100070, 51944100818
51944150051, 51944150799
51944200049, 51944200797
51944250066, 51944250820
51944300063, 51944300822
51944350056, 51944350820
51944400074, 51944400833
51944450067, 51944450826
51944500056, 51944500815
51944550053, 51944550812
51944600071, 51944600830
51944650068, 51944650827
51944700057, 51944700816
51944750074, 51944750833
51944800072, 51944800831
51944850065, 51944850824
51944900062, 51944900826
51944950079, 51944950849
51945000013, 51945000788
51945050042, 51945050823
51945100047, 51945100828
51945150060, 51945150846
51945200058, 51945200849
51945250051, 51945250848
51945300064, 51945300866
51945350057, 51945350864
51945400055, 51945400857
51945450048, 51945450850
51945500061, 51945500863
51945550062, 51945550869
51945600052, 51945600865
51945650073, 51945650891
51945700066, 51945700889
51945750059, 51945750882
51945800077, 51945800900
51945850070, 51945850893
51945900063, 51945900892
51945950060, 51945950894
51946000014, 51946000853
51946050043, 51946050888
51946100048, 51946100898
51946150057, 51946150912
51946200055, 51946200916
51946250052, 51946250918
51946300045, 51946300916
51946350066, 51946350943
51946400064, 51946400946
51946450061, 51946450954
51946500054, 51946500952
51946550067, 51946550976
51946600061, 51946600981
51946650054, 51946650984
51946700071, 51946701007
51946750056, 51946750997
51946800074, 51946801020
51946850067, 51946851019
51946900060, 51946901022
51946950077, 51946951050
51947000015, 51947000999
51947050040, 51947051034
51947100045, 51947101050
51947150058, 51947151074
51947200052, 51947201078
51947250065, 51947251102
51947300054, 51947301107
51947350067, 51947351136
