# exposure_start_timestamp_us, exposure_end_timestamp_us
52032500027, 52032501032
52032550036, 52032551041
52032600034, 52032601039
52032650051, 52032651056
52032700048, 52032701053
52032750041, 52032751046
52032800055, 52032801060
52032850048, 52032851053
52032900045, 52032901050
52032950042, 52032951047
52032999992, 52033000997
52033050021, 52033051026
52033100018, 52033101023
52033150031, 52033151036
52033200029, 52033201034
52033250026, 52033251031
52033300023, 52033301028
52033350040, 52033351045
52033400034, 52033401039
52033450031, 52033451036
52033500048, 52033501053
52033550041, 52033551046
52033600035, 52033601040
52033650056, 52033651061
52033700045, 52033701050
52033750038, 52033751043
52033800036, 52033801041
52033850057, 52033851062
52033900050, 52033901055
52033950043, 52033951048
52033999993, 52034000998
52034050022, 52034051027
52034100031, 52034101036
52034150044, 52034151049
52034200041, 52034201046
52034250031, 52034251036
52034300024, 52034301029
52034350045, 52034351050
52034400038, 52034401043
52034450035, 52034451040
52034500049, 52034501054
52034550046, 52034551051
52034600039, 52034601044
52034650036, 52034651041
52034700033, 52034701038
52034750055, 52034751060
52034800048, 52034801053
52034850041, 52034851046
52034900038, 52034901043
52034950059, 52034951064
52034999989, 52035000994
52035050014, 52035051019
52035100015, 52035101020
52035150024, 52035151029
52035200022, 52035201027
52035250019, 52035251024
52035300036, 52035301046
52035350033, 52035351049
52035400043, 52035401064
52035450040, 52035451056
52035500029, 52035501045
52035550034, 52035551055
52035600028, 52035601054
52035650049, 52035651081
52035700038, 52035701075
52035750035, 52035751077
52035800053, 52035801101
52035850050, 52035851092
52035900043, 52035901085
52035950040, 52035951082
52035999990, 52036001038
52036050019, 52036051072
52036100024, 52036101077
52036150037, 52036151090
52036200035, 52036201088
52036250024, 52036251077
52036300041, 52036301094
52036350038, 52036351091
52036400032, 52036401085
52036450029, 52036451082
52036500038, 52036501091
52036550039, 52036551092
52036600033, 52036601086
52036650050, 52036651103
52036700047, 52036701100
52036750040, 52036751093
52036800038, 52036801091
52036850051, 52036851104
52036900044, 52036901092
52036950041, 52036951083
52036999991, 52037001023
52037050024, 52037051050
52037100029, 52037101050
52037150034, 52037151050
52037200036, 52037201052
52037250029, 52037251045
52037300026, 52037301042
52037350023, 52037351039
52037400045, 52037401061
52037450034, 52037451050
52037500031, 52037501047
52037550048, 52037551064
52037600046, 52037601062
52037650043, 52037651059
52037700032, 52037701048
52037750053, 52037751069
52037800051, 52037801067
52037850048, 52037851064
52037900045, 52037901061
52037950042, 52037951058
52037999988, 52038001004
52038050017, 52038051033
52038100026, 52038101042
52038150015, 52038151031
52038200017, 52038201038
52038250038, 52038251064
52038300027, 52038301059
52038350024, 52038351066
52038400022, 52038401070
52038450039, 52038451092
52038500036, 52038501100
52038550029, 52038551098
52038600047, 52038601122
52038650040, 52038651120
52038700037, 52038701112
52038750034, 52038751109
52038800032, 52038801112
52038850053, 52038851138
52038900042, 52038901127
52038950039, 52038951124
52038999989, 52039001074
52039050022, 52039051113
52039100031, 52039101127
52039150036, 52039151143
52039200030, 52039201137
52039250023, 52039251130
52039300040, 52039301141
52039350033, 52039351124
52039400027, 52039401102
52039450040, 52039451099
52039500033, 52039501081
52039550042, 52039551084
52039600040, 52039601082
52039650033, 52039651075
52039700050, 52039701092
52039750039, 52039751081
52039800033, 52039801075
52039850050, 52039851092
52039900043, 52039901085
52039950036, 52039951078
52039999990, 52040001032
52040050015, 52040051057
52040100020, 52040101062
52040150033, 52040151075
52040200031, 52040201073
52040250024, 52040251066
52040300037, 52040301079
52040350030, 52040351072
52040400028, 52040401070
52040450045, 52040451087
52040500038, 52040501080
52040550031, 52040551073
52040600045, 52040601087
52040650042, 52040651084
52040700035, 52040701077
52040750032, 52040751080
52040800050, 52040801103
52040850047, 52040851106
52040900056, 52040901120
52040950049, 52040951118
52040999991, 52041001066
52041050040, 52041051120
52041100021, 52041101106
52041150030, 52041151121
52041200019, 52041201115
52041250037, 52041251138
52041300034, 52041301141
