# exposure_start_timestamp_us, exposure_end_timestamp_us
52107500015, 52107501004
52107550016, 52107551005
52107600033, 52107601022
52107650022, 52107651016
52107700019, 52107701019
52107750037, 52107751042
52107800034, 52107801044
52107850027, 52107851032
52107900020, 52107901025
52107950037, 52107951042
52107999971, 52108000976
52108050004, 52108051014
52108100009, 52108101014
52108149998, 52108151003
52108200016, 52108201021
52108250009, 52108251014
52108300006, 52108301011
52108350003, 52108351008
52108400021, 52108401026
52108450018, 52108451023
52108500027, 52108501032
52108550024, 52108551029
52108600022, 52108601027
52108650019, 52108651024
52108700016, 52108701021
52108750033, 52108751038
52108800023, 52108801023
52108850020, 52108851009
52108900017, 52108901001
52108950034, 52108951012
52108999972, 52109000945
52109050017, 52109050990
52109100002, 52109100975
52109150015, 52109150988
52109200013, 52109200986
52109250006, 52109250979
52109300003, 52109300981
52109350012, 52109351001
52109400010, 52109401004
52109450007, 52109451007
52109500012, 52109501017
52109550021, 52109551026
52109600015, 52109601020
52109650028, 52109651033
52109700021, 52109701026
52109750018, 52109751023
52109800036, 52109801041
52109850029, 52109851034
52109900026, 52109901031
52109950035, 52109951040
52109999973, 52110000978
52110050002, 52110051007
52110100011, 52110101016
52110150000, 52110151005
52110200014, 52110201019
52110250011, 52110251016
52110300008, 52110301013
52110350005, 52110351010
52110400023, 52110401028
52110450020, 52110451025
52110500017, 52110501022
52110550026, 52110551031
52110600024, 52110601029
52110650021, 52110651026
52110700014, 52110701019
52110750035, 52110751040
52110800025, 52110801030
52110850022, 52110851022
52110900039, 52110901033
52110950032, 52110951026
52110999974, 52111000968
52111049999, 52111050993
52111100000, 52111100994
52111150013, 52111151002
52111200011, 52111201000
52111250004, 52111250993
52111300025, 52111301014
52111350018, 52111351007
52111400008, 52111400997
52111450025, 52111451014
52111500022, 52111501011
52111550015, 52111551004
52111600013, 52111601002
52111650026, 52111651015
52111700019, 52111701003
52111750016, 52111750994
52111800034, 52111801012
52111850031, 52111851009
52111900024, 52111901002
52111950037, 52111951015
52111999971, 52112000949
52112050004, 52112050982
52112100013, 52112100991
52112149998, 52112150976
52112200020, 52112200998
52112250009, 52112250987
52112300006, 52112300984
52112350003, 52112350981
52112400021, 52112400999
52112450018, 52112450996
52112500011, 52112500989
52112550024, 52112551002
52112600022, 52112601000
52112650019, 52112650997
52112700016, 52112700994
52112750033, 52112751011
52112800023, 52112801001
52112850020, 52112850998
52112900017, 52112900990
52112950038, 52112951006
52112999972, 52113000934
52113050001, 52113050963
52113100002, 52113100964
52113150015, 52113150977
52113200012, 52113200974
52113250006, 52113250968
52113300003, 52113300965
52113350024, 52113350986
52113400013, 52113400981
52113450010, 52113450983
52113500028, 52113500996
52113550025, 52113550993
52113600018, 52113600986
