# exposure_start_timestamp_us, exposure_end_timestamp_us
49599200027, 49599201005
49599250052, 49599251030
49599300053, 49599301031
49599350058, 49599351036
49599400055, 49599401033
49599450056, 49599451034
49599500042, 49599501020
49599550059, 49599551037
49599600060, 49599601038
49599650061, 49599651039
49599700066, 49599701044
49599750043, 49599751021
49599800048, 49599801026
49599850065, 49599851038
49599900066, 49599901039
49599950071, 49599951044
49599999997, 49600000970
49600050034, 49600051007
49600100043, 49600101016
49600150044, 49600151017
49600200049, 49600201022
49600250050, 49600251023
49600300051, 49600301024
49600350032, 49600351005
49600400053, 49600401026
49600450054, 49600451027
49600500039, 49600501012
49600550040, 49600551013
49600600041, 49600601014
49600650042, 49600651015
49600700059, 49600701032
49600750064, 49600751037
49600800065, 49600801038
49600850042, 49600851015
49600900047, 49600901020
49600950048, 49600951021
49600999990, 49601000963
49601050031, 49601051004
49601100024, 49601100997
49601150021, 49601150994
49601200026, 49601200999
49601250051, 49601251024
49601300024, 49601300997
49601350029, 49601351002
49601400030, 49601401014
49601450031, 49601451020
49601500033, 49601501027
49601550030, 49601551030
49601600031, 49601601036
49601650036, 49601651041
49601700037, 49601701042
49601750038, 49601751043
49601800043, 49601801048
49601850036, 49601851041
49601900037, 49601901042
49601950038, 49601951043
49601999988, 49602000993
49602050029, 49602051034
49602100022, 49602101027
49602150039, 49602151044
49602200020, 49602201025
49602250025, 49602251030
49602300026, 49602301031
49602350031, 49602351036
49602400032, 49602401037
49602450029, 49602451034
49602500046, 49602501051
49602550039, 49602551044
49602600040, 49602601045
49602650045, 49602651050
49602700046, 49602701051
49602750043, 49602751053
49602800044, 49602801060
49602850049, 49602851059
49602900030, 49602901040
49602950035, 49602951045
49602999985, 49603000995
49603050022, 49603051038
49603100039, 49603101060
49603150036, 49603151052
49603200041, 49603201057
49603250042, 49603251058
49603300035, 49603301056
49603350040, 49603351066
49603400045, 49603401066
49603450022, 49603451043
49603500039, 49603501071
49603550028, 49603551065
49603600025, 49603601067
49603650030, 49603651078
49603700031, 49603701084
49603750032, 49603751085
49603800037, 49603801090
49603850038, 49603851091
49603900035, 49603901099
49603950036, 49603951105
49603999982, 49604001051
49604050023, 49604051092
49604100016, 49604101091
49604150033, 49604151113
49604200014, 49604201099
49604250019, 49604251110
49604300020, 49604301111
49604350021, 49604351112
49604400026, 49604401127
49604450023, 49604451130
49604500017, 49604501124
49604550030, 49604551137
49604600031, 49604601148
49604650032, 49604651155
49604700037, 49604701165
49604750030, 49604751158
49604800031, 49604801159
49604850032, 49604851160
49604900033, 49604901161
49604950038, 49604951166
49604999976, 49605001104
49605050021, 49605051149
49605100014, 49605101142
49605150011, 49605151139
49605200016, 49605201144
49605250017, 49605251145
49605300014, 49605301142
49605350019, 49605351147
49605400020, 49605401148
49605450025, 49605451153
49605500022, 49605501150
49605550031, 49605551148
49605600024, 49605601136
49605650025, 49605651126
49605700026, 49605701122
49605750027, 49605751118
49605800028, 49605801119
49605850029, 49605851109
49605900026, 49605901101
49605950027, 49605951096
49605999973, 49606001037
49606050014, 49606051073
49606100007, 49606101060
49606150004, 49606151057
49606200001, 49606201054
49606250002, 49606251055
49606300007, 49606301049
49606350008, 49606351045
49606400009, 49606401046
49606450006, 49606451043
49606500020, 49606501057
49606550013, 49606551050
49606600014, 49606601040
49606650015, 49606651036
49606700016, 49606701037
49606750033, 49606751054
49606800034, 49606801055
49606850035, 49606851056
49606900036, 49606901057
49606950017, 49606951038
49606999971, 49607000992
49607050004, 49607051025
49607100021, 49607101042
49607150018, 49607151039
49607200019, 49607201029
49607250020, 49607251025
49607300021, 49607301026
49607350018, 49607351023
49607400019, 49607401024
49607450020, 49607451025
49607500013, 49607501018
49607550026, 49607551031
49607600027, 49607601032
49607650020, 49607651025
49607700025, 49607701019
49607750026, 49607751015
49607800027, 49607801016
49607850028, 49607851017
49607900029, 49607901018
49607950026, 49607951015
49607999964, 49608000953
49608050005, 49608050994
49608099994, 49608100983
49608149991, 49608150980
49608200012, 49608201001
49608250013, 49608251002
49608300014, 49608301003
49608350015, 49608351004
49608400016, 49608401005
49608450017, 49608451006
49608500019, 49608501008
49608550016, 49608551005
49608600017, 49608601006
49608650018, 49608651007
49608700023, 49608701012
49608750024, 49608751018
49608800017, 49608801017
49608850018, 49608851023
49608900019, 49608901024
49608950024, 49608951029
49608999966, 49609000971
49609049999, 49609051004
49609099992, 49609100997
49609150017, 49609151027
49609199994, 49609201010
49609249995, 49609251005
49609299996, 49609301006
49609350017, 49609351027
49609400018, 49609401028
49609450019, 49609451029
49609500004, 49609501014
49609550001, 49609551011
49609600002, 49609601012
49609650023, 49609651023
49609700024, 49609701018
49609750025, 49609751014
49609800026, 49609801010
49609850007, 49609850985
49609900008, 49609900981
49609950025, 49609950993
49609999959, 49610000921
49610050000, 49610050962
49610099993, 49610100955
49610149990, 49610150952
49610199991, 49610200953
49610249988, 49610250945
49610299993, 49610300945
49610349994, 49610350946
49610399995, 49610400947
49610449996, 49610450948
49610499997, 49610500949
49610549998, 49610550950
49610599999, 49610600951
49610650004, 49610650950
49610700005, 49610700946
49610750006, 49610750947
49610800003, 49610800944
49610850004, 49610850945
49610900005, 49610900946
49610950006, 49610950947
49610999956, 49611000897
49611049997, 49611050938
49611099982, 49611100923
