# exposure_start_timestamp_us, exposure_end_timestamp_us
54718000088, 54718015084
54718050121, 54718065117
54718100138, 54718115134
54718150135, 54718165131
54718200137, 54718215133
54718250118, 54718265114
54718300119, 54718315115
54718350140, 54718365136
54718400142, 54718415138
54718450143, 54718465139
54718500124, 54718515120
54718550145, 54718565141
54718600127, 54718615123
54718650144, 54718665140
54718700149, 54718715145
54718750150, 54718765146
54718800152, 54718815148
54718850137, 54718865133
54718900134, 54718915130
54718950135, 54718965131
54719000089, 54719015085
54719050130, 54719065126
54719100123, 54719115119
54719150120, 54719165116
54719200117, 54719215113
54719250119, 54719265115
54719300124, 54719315120
54719350125, 54719365121
54719400126, 54719415122
54719450131, 54719465127
54719500129, 54719515125
54719550134, 54719565130
54719600135, 54719615131
54719650136, 54719665132
54719700141, 54719715137
54719750143, 54719765139
54719800136, 54719815132
54719850141, 54719865137
54719900142, 54719915138
54719950143, 54719965139
54720000085, 54720015081
54720050126, 54720065122
54720100111, 54720115107
54720150132, 54720165128
54720200114, 54720215110
54720250115, 54720265111
54720300116, 54720315112
54720350137, 54720365133
54720400119, 54720415115
54720450120, 54720465116
54720500121, 54720515117
54720550122, 54720565118
54720600124, 54720615120
54720650145, 54720665141
54720700146, 54720715142
54720750147, 54720765143
54720800129, 54720815125
54720850130, 54720865126
54720900131, 54720915127
54720950152, 54720965148
54721000086, 54721015082
54721050123, 54721065119
54721100116, 54721115112
54721150113, 54721165109
54721200142, 54721215138
54721250136, 54721265132
54721300117, 54721315113
54721350118, 54721365114
54721400119, 54721415115
54721450124, 54721465120
54721500150, 54721515146
54721550143, 54721565139
54721600124, 54721615120
54721650129, 54721665125
54721700130, 54721715126
54721750132, 54721765128
54721800133, 54721815129
54721850134, 54721865130
54721900139, 54721915135
54721950140, 54721965136
54722000086, 54722015082
54722050123, 54722065119
54722100112, 54722115108
54722150133, 54722165129
54722200115, 54722215111
54722250116, 54722265112
54722300117, 54722315113
54722350122, 54722365118
54722400140, 54722415136
54722450121, 54722465117
54722500122, 54722515118
54722550127, 54722565123
54722600129, 54722615125
54722650130, 54722665126
54722700127, 54722715123
54722750132, 54722765128
54722800130, 54722815126
54722850143, 54722865139
54722900144, 54722915140
54722950141, 54722965137
54723000087, 54723015083
54723050120, 54723065116
54723100137, 54723115133
54723150134, 54723165130
54723200135, 54723215131
54723250133, 54723265129
54723300134, 54723315130
54723350135, 54723365131
54723400136, 54723415132
54723450137, 54723465133
54723500143, 54723515139
54723550136, 54723565132
54723600141, 54723615137
54723650142, 54723665138
54723700143, 54723715139
54723750145, 54723765141
54723800142, 54723815138
54723850147, 54723865143
54723900148, 54723915144
54723950149, 54723965145
54724000087, 54724015083
54724050120, 54724065116
54724100137, 54724115133
54724150130, 54724165126
54724200136, 54724215132
54724250137, 54724265133
54724300138, 54724315134
54724350119, 54724365115
54724400141, 54724415137
54724450142, 54724465138
